Frequency (kHz),C
0.06540800000000001,0.03908063759858526
0.065536,0.03121432912253809
0.065664,0.0373259936288729
0.065792,0.03382856053225037
0.06592,0.03417454595904246
0.06604800000000001,0.032555958710278665
0.066176,0.03173345151510769
0.066304,0.011847766170412827
0.066432,0.019791822724507618
0.06656000000000001,0.03666274673127454
0.066688,0.04114716651214656
0.066816,0.036637419004512374
0.066944,0.03656879445788556
0.067072,0.0428877668504174
0.06720000000000001,0.04008995731541222
0.067328,0.046039242584329954
0.067456,0.043939164489425545
0.067584,0.05053223112384897
0.06771200000000001,0.039462725781186966
0.06784000000000001,0.039042649551746335
0.067968,0.03975984976246174
0.068096,0.059994503176306974
0.068224,0.052369334755187125
0.06835200000000001,0.04403237778343578
0.06848,0.04407550604007674
0.068608,0.04129379079617223
0.068736,0.04147647893304857
0.06886400000000001,0.043868507727952116
0.06899200000000001,0.05517507476440481
0.06912,0.07525676281417018
0.069248,0.10407614787055432
0.06937600000000001,0.08756961762379072
0.06950400000000001,0.06394825315396209
0.06963200000000001,0.05850440442315446
0.06976,0.06452051323613651
0.069888,0.07402621107436723
0.07001600000000001,0.07042970316606546
0.07014400000000001,0.07812226484100993
0.070272,0.08650892910294981
0.0704,0.08062295514371202
0.07052800000000001,0.08621968997465704
0.07065600000000001,0.09104468694855844
0.07078400000000001,0.08253557753008435
0.070912,0.08104629663607663
0.07104,0.07966972138398483
0.07116800000000001,0.09116816589617582
0.07129600000000001,0.09280769453542721
0.071424,0.08283361461914958
0.071552,0.09852701590472611
0.07168000000000001,0.09885664358916627
0.07180800000000001,0.1023284354279189
0.07193600000000001,0.10118219806901071
0.072064,0.10356876433234119
0.072192,0.10992360731280174
0.07232000000000001,0.11340892701674285
0.07244800000000001,0.11417793476222
0.07257600000000002,0.11926369739547697
0.072704,0.12155259416322857
0.07283200000000001,0.13140340214901067
0.07296000000000001,0.12261008889208816
0.07308800000000001,0.12506042579188342
0.073216,0.1250960711017768
0.073344,0.1301094957149722
0.07347200000000001,0.13962210449583332
0.07360000000000001,0.14834156635219034
0.07372800000000002,0.15144938070905542
0.07385599999999999,0.2043959713924339
0.073984,0.34050819029424656
0.074112,0.2962267482431647
0.07424,0.20749251564009838
0.07436799999999999,0.16882849164283778
0.07449599999999999,0.14747380940689706
0.074624,0.14291495102605353
0.074752,0.15760143282947509
0.07488,0.1637415779023092
0.07500799999999999,0.15396342088660872
0.075136,0.1522345548264944
0.075264,0.16955706179131452
0.075392,0.18525394268314202
0.07552,0.18889145544465735
0.07564799999999999,0.18303801984181922
0.075776,0.17665336452124777
0.075904,0.16007901782032088
0.076032,0.16895440780253054
0.07615999999999999,0.166933594609442
0.076288,0.17145863308835663
0.076416,0.17744735658906538
0.076544,0.21017083137744375
0.076672,0.2328450933450451
0.0768,0.27186474653156967
0.076928,0.26736055098540984
0.077056,0.2313227340916118
0.077184,0.217504138858983
0.077312,0.21260660101884934
0.07744,0.21196968455130138
0.077568,0.2072440219652994
0.077696,0.20492950504162788
0.077824,0.2053282561689963
0.077952,0.2007877963920316
0.07808,0.21487418622127033
0.078208,0.23142585414309164
0.078336,0.31574576546897803
0.078464,0.27172280504206026
0.078592,0.223215663714706
0.07872,0.22670250557520832
0.078848,0.2206200497244829
0.078976,0.28375717814843204
0.07910400000000001,0.35187310413963674
0.079232,0.26958639440480275
0.07936,0.23864445551881044
0.079488,0.2508214319534695
0.079616,0.2577865059436306
0.079744,0.248784646955812
0.079872,0.2723921451531734
0.08,0.28983001433269046
