Frequency (kHz),Shotnoise calibrated squeezing (dB),Correlation calibrated squeezing (dB)
65.536,0.5731453902901784,0.2712123246097845
65.664,0.5473951975911935,0.32436015337514823
65.792,0.4877772857363619,0.29394330441632316
65.92,0.4813067353391908,0.29695197401981727
66.048,0.41766845671020764,0.2828774323774107
66.176,0.388064966539142,0.2757258356321255
66.304,0.36456437651754764,0.10291320488793826
66.432,0.3777116797758914,0.171932039791168
66.56,0.33738937984434014,0.31859136874415883
66.688,0.3645051273627735,0.357601655623385
66.816,0.31158361729513345,0.31837107900523587
66.944,0.2164336958838381,0.31777421409443735
67.072,0.31614668902332443,0.3727470606368798
67.2,0.37256095528769373,0.3484036769070204
67.328,0.33885433334536813,0.40017467842859966
67.456,0.2893567050827615,0.38189662980260797
67.584,0.3104167670009643,0.4392915489152972
67.712,0.2984260728822741,0.34294697948928465
67.84,0.36627332980681404,0.33929261311589054
67.968,0.4576446589345521,0.3455318213754037
68.096,0.6102306768366729,0.5217321993603158
68.224,0.5793025771624951,0.4552907857671302
68.352,0.42573327116262216,0.3827078396745003
68.48,0.4272224200913475,0.3830831753847291
68.608,0.4706943819118009,0.3588773856033446
68.736,0.37423153576543744,0.3604669170400923
68.864,0.45013471659590043,0.38128172771744623
68.992,0.5116189764993528,0.4797318200887717
69.12,0.7277257732696895,0.6549101879938837
69.248,1.0362657020589616,0.9072792867189532
69.376,0.9059678333933805,0.7625732851051169
69.504,0.6573553389932291,0.5562064777255714
69.632,0.5941933804047491,0.5087437677431615
69.76,0.5994918985654849,0.5611976596782411
69.888,0.5999735539211608,0.6441618673280687
70.016,0.6317536372588788,0.6127591377926127
70.144,0.5643103728781695,0.6799468877736723
70.272,0.5716225545772398,0.7532899316205486
70.4,0.6588559318477037,0.701805327859416
70.528,0.7719554874978252,0.7507587529145607
70.656,0.724084470043801,0.7930000622478988
70.784,0.8488259862573361,0.7185294621302767
70.912,0.8684923292275314,0.7055066104547705
71.04,0.7781374422325317,0.6934721161274516
71.168,0.8118699207028073,0.7940815636344394
71.296,0.8854130311387232,0.8084438623827941
71.424,0.9227687148165993,0.7211359996393509
71.552,0.943071452785351,0.8585802587928502
